key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_NH_0450,2020-05-21,0,5,,,,,,,
NL_NH_0451,2020-05-21,0,16,,,,,,,
NL_NH_0453,2020-05-21,0,31,,,,,,,
NL_NH_0457,2020-05-21,0,9,,,,,,,
NL_NH_0473,2020-05-21,0,10,,,,,,,
NL_NH_0479,2020-05-21,0,113,,,,,,,
NL_NH_0498,2020-05-21,0,4,,,,,,,
NL_NH_0532,2020-05-21,0,19,,,,,,,
NL_NH_0852,2020-05-21,0,16,,,,,,,
NL_NH_0880,2020-05-21,0,20,,,,,,,
NL_NH_1598,2020-05-21,0,6,,,,,,,
NL_NH_1696,2020-05-21,0,8,,,,,,,
NL_NH_1911,2020-05-21,0,26,,,,,,,
NL_NH_1942,2020-05-21,0,23,,,,,,,
NL_OV,2020-05-21,0,545,,,,,,,
NL_OV_0141,2020-05-21,0,22,,,,,,,
NL_OV_0147,2020-05-21,0,14,,,,,,,
NL_OV_0148,2020-05-21,0,16,,,,,,,
NL_OV_0150,2020-05-21,0,46,,,,,,,
NL_OV_0153,2020-05-21,0,52,,,,,,,
NL_OV_0158,2020-05-21,0,14,,,,,,,
NL_OV_0160,2020-05-21,0,23,,,,,,,
NL_OV_0163,2020-05-21,0,8,,,,,,,
NL_OV_0164,2020-05-21,0,21,,,,,,,
NL_OV_0166,2020-05-21,0,59,,,,,,,
NL_OV_0168,2020-05-21,0,7,,,,,,,
NL_OV_0173,2020-05-21,0,14,,,,,,,
NL_OV_0175,2020-05-21,0,9,,,,,,,
NL_OV_0177,2020-05-21,0,25,,,,,,,
NL_OV_0180,2020-05-21,0,8,,,,,,,
NL_OV_0183,2020-05-21,0,12,,,,,,,
NL_OV_0189,2020-05-21,0,5,,,,,,,
NL_OV_0193,2020-05-21,0,53,,,,,,,
NL_OV_1700,2020-05-21,0,12,,,,,,,
NL_OV_1708,2020-05-21,0,14,,,,,,,
NL_OV_1735,2020-05-21,0,15,,,,,,,
NL_OV_1742,2020-05-21,0,30,,,,,,,
NL_OV_1773,2020-05-21,0,12,,,,,,,
NL_OV_1774,2020-05-21,0,19,,,,,,,
NL_OV_1896,2020-05-21,0,35,,,,,,,
NL_UT,2020-05-21,1,855,,,,,,,
NL_UT_0307,2020-05-21,0,59,,,,,,,
NL_UT_0308,2020-05-21,0,11,,,,,,,
NL_UT_0310,2020-05-21,0,26,,,,,,,
NL_UT_0312,2020-05-21,0,9,,,,,,,
NL_UT_0313,2020-05-21,0,9,,,,,,,
NL_UT_0317,2020-05-21,0,2,,,,,,,
NL_UT_0321,2020-05-21,0,24,,,,,,,
NL_UT_0327,2020-05-21,0,9,,,,,,,
NL_UT_0331,2020-05-21,0,19,,,,,,,
NL_UT_0335,2020-05-21,0,12,,,,,,,
NL_UT_0339,2020-05-21,0,5,,,,,,,
NL_UT_0340,2020-05-21,1,11,,,,,,,
NL_UT_0342,2020-05-21,0,23,,,,,,,
NL_UT_0344,2020-05-21,0,253,,,,,,,
NL_UT_0345,2020-05-21,0,48,,,,,,,
NL_UT_0351,2020-05-21,0,9,,,,,,,
NL_UT_0352,2020-05-21,0,9,,,,,,,
NL_UT_0353,2020-05-21,0,35,,,,,,,
NL_UT_0355,2020-05-21,0,35,,,,,,,
NL_UT_0356,2020-05-21,0,42,,,,,,,
NL_UT_0589,2020-05-21,0,25,,,,,,,
NL_UT_0632,2020-05-21,0,47,,,,,,,
NL_UT_0736,2020-05-21,0,39,,,,,,,
NL_UT_1581,2020-05-21,0,28,,,,,,,
NL_UT_1904,2020-05-21,0,32,,,,,,,
NL_UT_1961,2020-05-21,0,34,,,,,,,
NL_ZE,2020-05-21,0,150,,,,,,,
NL_ZE_0654,2020-05-21,0,5,,,,,,,
NL_ZE_0664,2020-05-21,0,11,,,,,,,
NL_ZE_0677,2020-05-21,0,9,,,,,,,
NL_ZE_0678,2020-05-21,0,3,,,,,,,
NL_ZE_0687,2020-05-21,0,18,,,,,,,
NL_ZE_0703,2020-05-21,0,4,,,,,,,
NL_ZE_0715,2020-05-21,0,25,,,,,,,
NL_ZE_0716,2020-05-21,0,40,,,,,,,
NL_ZE_0717,2020-05-21,0,6,,,,,,,
NL_ZE_0718,2020-05-21,0,9,,,,,,,
NL_ZE_1676,2020-05-21,0,11,,,,,,,
NL_ZE_1695,2020-05-21,0,1,,,,,,,
NL_ZE_1714,2020-05-21,0,8,,,,,,,
NL_ZH,2020-05-21,10,2093,,,,,,,
NL_ZH_0482,2020-05-21,0,10,,,,,,,
NL_ZH_0484,2020-05-21,0,59,,,,,,,
NL_ZH_0489,2020-05-21,0,39,,,,,,,
NL_ZH_0501,2020-05-21,0,11,,,,,,,
NL_ZH_0502,2020-05-21,1,51,,,,,,,
NL_ZH_0503,2020-05-21,0,38,,,,,,,
NL_ZH_0505,2020-05-21,0,83,,,,,,,
NL_ZH_0512,2020-05-21,0,18,,,,,,,
NL_ZH_0513,2020-05-21,0,38,,,,,,,
NL_ZH_0518,2020-05-21,4,306,,,,,,,
